Symbol,Company Name,Industry,Series
BHEL,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,EQ
BPCL,Bharat Petroleum Corporation Ltd.,ENERGY,EQ
BHARTIARTL,Bharti Airtel Ltd.,TELECOM,EQ
INFRATEL,Bharti Infratel Ltd.,TELECOM,EQ
BIOCON,Biocon Ltd.,PHARMA,EQ
BIRLACORPN,Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,EQ
BLISSGVS,Bliss GVS Pharma Ltd.,PHARMA,EQ
BLUEDART,Blue Dart Express Ltd.,SERVICES,EQ
BLUESTARCO,Blue Star Ltd.,CONSUMER GOODS,EQ
BBTC,Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,EQ
BOMDYEING,Bombay Dyeing & Manufacturing Co. Ltd.,TEXTILES,EQ
BOSCHLTD,Bosch Ltd.,AUTOMOBILE,EQ
BRIGADE,Brigade Enterprises Ltd.,CONSTRUCTION,EQ
BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS,EQ
CARERATING,CARE Ratings Ltd.,FINANCIAL SERVICES,EQ
CCL,CCL Products (I) Ltd.,CONSUMER GOODS,EQ
CESC,CESC Ltd.,ENERGY,EQ
CGPOWER,CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING,EQ
CRISIL,CRISIL Ltd.,FINANCIAL SERVICES,EQ
CADILAHC,Cadila Healthcare Ltd.,PHARMA,EQ
CANFINHOME,Can Fin Homes Ltd.,FINANCIAL SERVICES,EQ
CANBK,Canara Bank,FINANCIAL SERVICES,EQ
CAPLIPOINT,Caplin Point Laboratories Ltd.,PHARMA,EQ
CARBORUNIV,Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,EQ
CASTROLIND,Castrol India Ltd.,ENERGY,EQ
CEATLTD,Ceat Ltd.,AUTOMOBILE,EQ
CENTRALBK,Central Bank of India,FINANCIAL SERVICES,EQ
CDSL,Central Depository Services (India) Ltd.,FINANCIAL SERVICES,EQ
CENTURYPLY,Century Plyboards (India) Ltd.,CONSUMER GOODS,EQ
CERA,Cera Sanitaryware Ltd,CONSTRUCTION,EQ
CHALET,Chalet Hotels Ltd.,SERVICES,EQ
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,EQ
CHENNPETRO,Chennai Petroleum Corporation Ltd.,ENERGY,EQ
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,FINANCIAL SERVICES,EQ
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,EQ
CIPLA,Cipla Ltd.,PHARMA,EQ
CUB,City Union Bank Ltd.,FINANCIAL SERVICES,EQ
COALINDIA,Coal India Ltd.,METALS,EQ
COCHINSHIP,Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,EQ
COFFEEDAY,Coffee Day Enterprises Ltd.,CONSUMER GOODS,EQ
COLPAL,Colgate Palmolive (India) Ltd.,CONSUMER GOODS,EQ
